date,pipe_31,pipe_15,pipe_11,pipe_32,pipe_25,pipe_00,pipe_02,pipe_01,pipe_105,pipe_300
6/17/2017,223.1233951,19.39400428,1107.985642,1084.693548,655.4733813,544.85438,1365,806.6278249,747,873.9088983
6/18/2017,224.5,19,1107.965084,1115.991603,646.0746165,540.4282528,1364.747551,809.8461538,747.2974359,867.737395
6/19/2017,225.8391365,19,1107.997207,1146.704317,638.6165623,537.3721503,1364.032456,813.189547,748,868.4622378
6/20/2017,227.3158996,18.84996511,1107.911498,1176.367215,634.4815331,533.9600235,1364,816.2292683,748.3608069,870.3326345
6/21/2017,228.4821429,18.99509804,1107.99644,1203.334399,624.1646532,531.3420471,1363.996314,819.1758383,749.0050706,870.8022453
6/22/2017,230.1303714,18.97740525,1107.998537,1181.72854,595.585348,528.2726744,1363.791738,822.772242,749.7431973,877.0885269
6/23/2017,231.4007117,18.24428571,1107.965,1146.462895,684.8506076,525.4693999,1363.041032,825.8883427,750.0005669,879.7107671
6/24/2017,232.8641064,18,1107.9278,1278.141348,718.1854402,522.2099573,1363.694249,828.9907736,750.4963421,879.9914833
6/25/2017,234.4194304,17.81871345,1107.224354,1288.796477,716.0672012,519.5251384,1363.899364,NA,750.98157,NA
6/26/2017,235.6030174,17.57136106,1107.826968,1295.489593,710.8578848,517.996586,1363.957281,836.7226463,751.2565991,872.5775536
6/27/2017,236.7899512,17.55167598,1107.960196,1302.388049,711.4693166,515.8377382,1363.984375,838.4563242,751.9940441,875.193166
6/28/2017,238.4304069,17.07142857,1107.923517,1311.842183,713.1011478,514.6383721,1363.853846,841.5758645,752.0457928,874.7046414
6/29/2017,239.5528341,17,1107.854444,1320.061885,714.3165969,512.8336347,1363.292556,844.6959887,752.8277997,870.9194114
6/30/2017,240.8263045,16.90493209,1107.864286,1327.105378,715.8034433,510.7692308,1363.031765,847.8221595,753.0190972,867.1046676
7/1/2017,242.2188153,16.6901605,1107.915562,1333.378109,718.1421464,508.8702422,1363.003552,851.0690377,753.8411054,867.5275645
7/2/2017,243.4375436,16.37160752,1108.371429,1338.497139,724.4175365,507.1731884,1363,854.1868898,754.048913,875.2722841
7/3/2017,244.7785515,16.25801953,1108,1343.582869,732.5821727,506.3296011,1362.983925,857.3926081,754.8585657,879.2947735
7/4/2017,246.1047486,16.00349162,1107.994417,1341.279915,741.4094708,505.0901163,1362.135933,860.4055749,755.0032895,880.3126308
7/5/2017,247.3556485,16,1107.920668,1264.994971,752.5704324,504.1861987,1361.990698,863.4790503,755.5782928,889.4227019
7/6/2017,248.5380201,15.98995696,1107.541337,1327.527286,763.3651363,503.0386941,1361.2109,866.4636952,755.9923709,890.0738881
7/7/2017,250.4007299,15.97584187,1107.903132,1354.793921,778.3532448,501.768425,1360.376774,870.8097668,756.5011161,891.9298758
7/8/2017,251.2190602,15.65073041,1107.48597,1103.856694,786.1384062,500.9996032,1359.952495,872.4072581,756.2661321,892.7199762
7/9/2017,252.4749819,15.09413469,1107.826308,365.2564655,793.8103208,494.0631188,1359.018337,875.8483578,755.9988024,887.6973501
7/10/2017,253.9299506,15.03640449,1107.766982,398.8731417,803.2628817,506.4642857,1358.065489,879.5389877,755.2084286,886.15066
7/11/2017,255.4700272,15,1107.710469,427.2435051,810.0362762,510.5372028,1357.185635,882.7911365,755,882.5913462
7/12/2017,256.1113725,15,1107.696398,444.420071,813.8430567,511.0012731,1356.699873,884.8268156,754.9835064,882.9793651
7/13/2017,258.083779,15,1107.995263,487.8372236,825.2491166,511.5933434,1355.035136,889.9575722,754.0002988,884.5893491
7/14/2017,259.1350595,15,1107.989532,511.3649323,832.4622905,508.3654661,1354.5094,892.4153846,753.4082861,888.7031359
7/15/2017,259.9586835,14.99576869,1107.906516,545.8671612,839.1944628,506.0852191,1354.002769,894.4007658,751.6552995,892.6537484
7/16/2017,261.1505848,14.64839181,1107.882483,571.2350774,846.3946221,503.9771891,1317.501845,897.3991447,750.1504748,889.2160625
7/17/2017,262.3309677,14.47193211,1107.817246,599.2120419,854.5860735,501.119957,1352.875207,900.7739726,751.0169223,889.7941542
7/18/2017,263.4848689,14.00067385,1107.396879,623.1309686,860.8800273,499.5032468,1352.150472,903.4725983,751.4513619,887.4682489
7/19/2017,264.6302785,14,1107.290917,652.4141414,867.6413483,498.1933054,1351.695263,906.9302116,752.0786207,721.0522052
7/20/2017,266.0497896,13.98664793,1107.225017,683.551264,873,496.2688326,1350.997828,910.5831469,752.9630025,763.2447699
7/21/2017,266.9839506,13.72277228,1107.013819,704.3983051,871.3813559,502.3186916,1350.567273,913.0490868,753.0566547,768.8599089
7/22/2017,267.9737828,13.33033708,1106.19805,724.0750708,881.4951117,502.8679472,1350,915.5379702,753.8543746,769.2422096
7/23/2017,269.0865835,13.09836066,1107.08549,744.1436735,887.1291118,484.863079,1350,918.399079,754.130491,771.0106952
7/24/2017,270.3286275,13.00156495,1107.048221,791.8365103,892.7406877,507.5582147,1308.5903,921.5649073,754.99375,769.5305398
7/25/2017,271.8307916,13,1107.190022,524.1345291,890.6097202,534.1022032,1306.320194,924.6412811,755.4172619,767.0652482
7/26/2017,273.4081062,13,1107.177824,328.2707873,881.0805515,536.0289944,1304.256134,927.7491141,756.0071599,767.8304965
7/27/2017,274.8,12.96347699,1107.070278,355.8774474,872.7583454,557.5965123,1302.248642,930.7928826,756.6431535,766.8921986
7/28/2017,276.3273121,12.57628344,1107.004351,391.7859674,865.7447405,576.7059168,1300.204991,933.6681128,757,767.5723589
7/29/2017,277.6927374,12.03554007,1107,422.9646018,860.4087591,593.1889764,1298.211503,936.640257,757.4490042,768.7629524
7/30/2017,279.326802,12.00139958,1107.046316,448.2189055,857.2754533,606.1870027,1296.285074,939.7798742,758.0152284,769.9805014
7/31/2017,280.7555866,12.013947,1107.098886,486.6044724,856.3001393,609.8455782,1294.409597,942.8994413,758.7641707,773.6845778
8/1/2017,282.3920335,12.03977669,1107.218815,518.0028189,858.7116992,613.1134806,1292.47862,945.9686411,759.0317812,776.9407252
